Название;Описание;Картинка;Цена
Пылесос Artel VCU-0120;"

Пылесос Artel VCU-0120

        
	Тип: обычный
	Уборка: сухая
	Потребляемая мощность: 2000 Вт
	Мощность всасывания: 420 Вт
	Пылесборник: контейнер, мешок
	Емкость пылесборника: 3.5 л

            ";https://www.kivano.kg/images/product/56832/1599622989_60826100.jpg;6540 сом
Кондиционер Artel Montana 09HM;"

Кондиционер Artel Montana 09HM

        
	Тип: настенная сплит-система
	Обслуживаемая площадь: до 20 кв.м
	Теплопроизводительность: 2.7 кВт
	Холодопроизводительность: 2.6 кВт

            ";https://www.kivano.kg/images/product/30212/30212.jpg;21820 сом
Кондиционер Artel Montana 12HM;"

Кондиционер Artel Montana 12HM

        
	Тип: настенная сплит-система
	Обслуживаемая площадь: до 30 кв.м
	Теплопроизводительность: 3.5 кВт
	Холодопроизводительность: 3.4 кВт

            ";https://www.kivano.kg/images/product/30213/30213.jpg;25480 сом
Кондиционер Artel Montana 18HM;"

Кондиционер Artel Montana 18HM

        
	Тип: настенная сплит-система
	Обслуживаемая площадь: до 40 кв.м
	Теплопроизводительность: 5.56 кВт
	Холодопроизводительность: 5.08 кВт

            ";https://www.kivano.kg/images/product/30216/30216.jpg;33630 сом
Водонагреватель Artel ECO ART WH 1.5 30L белый;"

Водонагреватель Artel ECO ART WH 1.5 30L белый

        Накопительный водонагреватель; объем 30 л; мощность 1500 Вт; монтаж настенный вертикальный; подача воды снизу; вес 16.8 кг            ";https://www.kivano.kg/images/product/87823/1611028564_46954700.jpg;6370 сом
Водонагреватель Artel ECO ART WH 1.5 50L белый;"

Водонагреватель Artel ECO ART WH 1.5 50L белый

        Накопительный водонагреватель; объем 50 л; мощность 1500 Вт; монтаж настенный вертикальный; подача воды снизу; вес 20.1 кг            ";https://www.kivano.kg/images/product/87824/1611028602_82798500.jpg;7300 сом
Водонагреватель Artel ECO ART WH 1.5 50L стальной;"

Водонагреватель Artel ECO ART WH 1.5 50L стальной

        Накопительный водонагреватель; объем 50 л; мощность 1500 Вт; монтаж настенный вертикальный; подача воды снизу; вес 20.1 кг            ";https://www.kivano.kg/images/product/87825/1611028613_94609600.jpg;7640 сом
Водонагреватель Artel ECO ART WH 2.0 80L белый;"

Водонагреватель Artel ECO ART WH 2.0 80L белый

        Накопительный водонагреватель; объем 80 л; мощность 2000 Вт; монтаж настенный вертикальный; подача воды снизу; вес 24.3 кг            ";https://www.kivano.kg/images/product/87826/1611028624_84838500.jpg;8670 сом
Водонагреватель Artel ECO ART WH 2.0 80L стальной;"

Водонагреватель Artel ECO ART WH 2.0 80L стальной

        Накопительный водонагреватель; объем 80 л; мощность 2000 Вт; монтаж настенный вертикальный; подача воды снизу; вес 24.3 кг            ";https://www.kivano.kg/images/product/87827/1611028635_69354800.jpg;9170 сом
Вытяжка Artel 0760 Retro бежевая;"

Вытяжка Artel 0760 Retro бежевая

        
	Производительность: 700 м³/час
	Мощность мотора: 150 Bт
	Тип управления: механические кнопки
	Тип фильтра: алюминиевый
	Размеры: 905х595х510 мм

            ";https://www.kivano.kg/images/product/66076/1600770248_53705700.jpg;6370 сом
Электрочайник KENWOOD SJM023;"

Электрочайник KENWOOD SJM023

        Мощность 2200 Вт. Объем: 1 л. Нагревательный элемент: диск. Индикатор уровня воды. Цвет: синий.
 
            ";https://www.kivano.kg/images/product/2332/2332.jpg;4670 сом
Электрочайник KENWOOD SJM027;"

Электрочайник KENWOOD SJM027

        Беспроводной электрочайник. Мощность: 2200 Вт. Объем: 1 л. Вращение базы: на 360°. Материал корпуса: нерж. сталь. Скрытый нагревательный элемент. Ручка Sure Grip. Габариты (ВхШхГ): 23х20х13,5 см. Цвет: оранжевый.
 
            ";https://www.kivano.kg/images/product/2333/2333.jpg;2930 сом
Очиститель воздуха Xiaomi Mi Air Purifier Pro;"

Очиститель воздуха Xiaomi Mi Air Purifier Pro

        
	очиститель;
	обслуживаемая площадь 60 кв.м;
	регулировка скорости работы;
	работа от сети;
	управление со смартфона;
	Wi-Fi

            ";https://www.kivano.kg/images/product/69149/69149.jpg;24820 сом
Конвектор SVC CH-2000-2;"

Конвектор SVC CH-2000-2

        Напольный конвектор; мощность 2000 Вт; площадь обогрева до 20 кв.м; механическое управление; 2 режима работы            ";https://www.kivano.kg/images/product/101405/1639725830_00345000.jpg;3810 сом
Электрочайник KENWOOD SJM029;"

Электрочайник KENWOOD SJM029

        Электрочайник. Мощность: 2200 Вт. Объем: 1 л. Вращение на 360°. Материал корпуса: нерж. сталь. Скрытый нагревательный элемент. Световая индикация работы. Габариты (ВхШхГ): 23х20х13,5 см. Цвет: малиновый.
 
            ";https://www.kivano.kg/images/product/2334/2334.jpg;2930 сом
Кондиционер Artel Art-24HS Shahrisabz;"

Кондиционер Artel Art-24HS Shahrisabz

        настенная сплит-система; обслуживаемая площадь до 65 кв.м; потребляемая мощность до 2.2 кВт; размеры внутреннего блока 315 x 1050 x 240 мм            ";https://www.kivano.kg/images/product/82464/1596777736_09838600.jpg;54510 сом
Стиральная машина LG F-1296HDS0;"

Стиральная машина LG F-1296HDS0

        Тип стиральная машина; Установка отдельно стоящая; Тип загрузки фронтальная; Максимальная загрузка белья 7 кг; Сушка нет; Управление кнопочное, поворотный механизм; Дисплей есть; Цвет белый            ";https://www.kivano.kg/images/product/82724/1597314173_25774900.png;30174 сом
Мини-печь Artel MD 4218E ;"

Мини-печь Artel MD 4218E 

        Тип Мини печь; Объём камеры 42 л; Термостат до 300 °С; Тип управления Механическое; Мощность 1400 Вт; Напряжение 220-240 В; Дисплей Нет; Материал корпуса Сталь 08Ю            ";https://www.kivano.kg/images/product/76069/1579494198_70618000.jpg;5860 сом
Мини-печь Artel MD 4218L;"

Мини-печь Artel MD 4218L

        Тип Мини печь; Объём камеры 42 л; Термостат до 300 °С; Тип управления Механическое; Мощность 1400 Вт; Напряжение 220-240 В; Дисплей Нет; Материал корпуса Сталь 08Ю            ";https://www.kivano.kg/images/product/76070/1579494675_20643800.jpg;6880 сом
Плита Artel Milagro 20E белая;"

Плита Artel Milagro 20E белая

        Тип Плита; Общее число конфорок 4 шт; Максимальная потребляемая мощность 1.3 кВт; Объем духовки 65 л; Класс энергопотребления A; Дисплей нет            ";https://www.kivano.kg/images/product/76071/1579494989_75891200.jpg;15450 сом
